iter	Passed	Remaining
0	75	7458
1	86	4260
2	97	3168
3	108	2599
4	118	2244
5	128	2010
6	138	1844
7	146	1684
8	155	1569
9	161	1456
10	168	1362
11	174	1279
12	181	1211
13	187	1149
14	192	1089
15	196	1032
16	201	981
17	205	936
18	209	894
19	213	855
20	217	818
21	221	785
22	225	755
23	230	728
24	234	702
25	238	679
26	242	654
27	246	633
28	249	611
29	253	591
30	257	573
31	261	555
32	265	539
33	268	522
34	272	506
35	276	490
36	280	476
37	284	463
38	287	449
39	291	437
40	295	424
41	298	412
42	302	400
43	306	389
44	309	378
45	313	368
46	317	357
47	320	347
48	324	337
49	327	327
50	331	318
51	334	308
52	338	299
53	341	291
54	345	282
55	348	274
56	352	265
57	355	257
58	359	249
59	363	242
60	367	235
61	371	227
62	374	220
63	378	212
64	381	205
65	385	198
66	389	191
67	393	185
68	397	178
69	400	171
70	404	165
71	407	158
72	411	152
73	415	145
74	419	139
75	423	133
76	426	127
77	430	121
78	434	115
79	438	109
80	442	103
81	445	97
82	450	92
83	453	86
84	457	80
85	460	74
86	463	69
87	467	63
88	470	58
89	474	52
90	477	47
91	480	41
92	484	36
93	488	31
94	491	25
95	495	20
96	499	15
97	502	10
98	506	5
99	510	0
